@relation 'flags-weka.filters.unsupervised.attribute.NumericToBinary-R11,12,13,14,15,16,17,21,24,25,26,27,28-weka.filters.unsupervised.attribute.NumericToBinary-R11,12,13,14,15,16,17,21,24,25,26,27,28-weka.filters.unsupervised.attribute.NumericToNominal-R2,3,6,7,18,29,30-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)_binarized-replace$0-Rfirst-last-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)_binarized-replace$0-Rfirst-last-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)_binarized-replace$1-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R1,4-5,8-9,11-17,19-20,22-23,25-28-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:NorthAmerica, 2:SouthAmerica, 3:Europe, 4:Africa, 5:Asia, 6:Oceania'

@attribute landmass {NorthAmerica,SouthAmerica,Europe,Africa,Asia,Oceania}
@attribute zone {1,2,3,4}
@attribute language {1,2,3,4,5,6,7,8,9,10}
@attribute religion {0,1,2,3,4,5,6,7}
@attribute colours numeric
@attribute mainhue {green,red,blue,gold,white,orange,black,brown}
@attribute saltires {0,1}
@attribute crescent {0,1}
@attribute topleft {black,red,green,blue,white,orange,gold}
@attribute botright {green,red,white,black,blue,gold,orange,brown}

@data
Asia,1,10,2,5,green,0,0,black,green
Europe,1,6,6,3,red,0,0,red,red
Africa,1,8,2,3,green,0,1,green,white
Oceania,3,1,1,5,blue,0,0,blue,red
Europe,1,6,0,3,gold,0,0,blue,red
Africa,2,10,5,3,red,0,0,red,black
NorthAmerica,4,1,1,3,white,0,0,white,blue
NorthAmerica,4,1,1,5,red,0,0,black,red
SouthAmerica,3,2,0,2,blue,0,0,blue,blue
SouthAmerica,3,2,0,3,blue,0,0,blue,blue
Oceania,2,1,1,3,blue,1,0,white,blue
Europe,1,4,0,2,red,0,0,red,red
NorthAmerica,4,1,1,3,blue,0,0,blue,blue
Asia,1,8,2,2,red,0,0,white,red
Asia,1,6,2,2,green,0,0,green,green
NorthAmerica,4,1,1,3,blue,0,0,blue,blue
Europe,1,6,0,3,gold,0,0,black,red
NorthAmerica,4,1,1,8,blue,0,0,red,red
Africa,1,3,5,2,green,0,0,green,green
NorthAmerica,4,1,1,6,red,1,0,white,red
Asia,1,10,3,4,orange,0,0,orange,red
SouthAmerica,3,2,0,3,red,0,0,red,green
Africa,2,10,5,3,blue,0,0,blue,blue
SouthAmerica,3,6,0,4,green,0,0,green,green
NorthAmerica,4,1,1,6,blue,1,0,white,blue
Asia,1,10,2,4,gold,0,0,white,gold
