@relation 'flags-weka.filters.unsupervised.attribute.NumericToBinary-R11,12,13,14,15,16,17,21,24,25,26,27,28-weka.filters.unsupervised.attribute.NumericToBinary-R11,12,13,14,15,16,17,21,24,25,26,27,28-weka.filters.unsupervised.attribute.NumericToNominal-R2,3,6,7,18,29,30-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)_binarized-replace$0-Rfirst-last-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)_binarized-replace$0-Rfirst-last-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)_binarized-replace$1-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R1,4-5,8-9,11-17,19-20,22-23,25-28-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:NorthAmerica, 2:SouthAmerica, 3:Europe, 4:Africa, 5:Asia, 6:Oceania-weka.filters.unsupervised.attribute.RenameNominalValues-R2-N1:North-East, 2:South-East, 3:South-West, 4:North-West-weka.filters.unsupervised.attribute.RenameNominalValues-R3-N1:English, 2:Spanish, 3:French, 4:German, 5:Slavic, 6:OtherIndo-European, 7:Chinese, 8:Arabic, 9:Japanese/Turkish/Finnish/Magyar, 10:Other-weka.filters.unsupervised.attribute.RenameNominalValues-R3-N0:Catholic, 1:ChristianNonCatholic, 2:Muslim, 3:Buddhist, 4:Hindu, 5:Ethnic, 6:Marxist, 7:Other-weka.filters.unsupervised.attribute.RenameNominalValues-R4-N0:Catholic, 1:ChristianNonCatholic, 2:Muslim, 3:Buddhist, 4:Hindu, 5:Ethnic, 6:Marxist, 7:Other'

@attribute landmass {NorthAmerica,SouthAmerica,Europe,Africa,Asia,Oceania}
@attribute zone {North-East,South-East,South-West,North-West}
@attribute language {English,Spanish,French,German,Slavic,OtherIndo-European,Chinese,Arabic,Japanese/Turkish/Finnish/Magyar,Other}
@attribute religion {Catholic,ChristianNonCatholic,Muslim,Buddhist,Hindu,Ethnic,Marxist,Other}
@attribute colours numeric
@attribute mainhue {green,red,blue,gold,white,orange,black,brown}
@attribute saltires {0,1}
@attribute crescent {0,1}
@attribute topleft {black,red,green,blue,white,orange,gold}
@attribute botright {green,red,white,black,blue,gold,orange,brown}

@data
Asia,North-East,Other,Muslim,5,green,0,0,black,green
Europe,North-East,OtherIndo-European,Marxist,3,red,0,0,red,red
Africa,North-East,Arabic,Muslim,3,green,0,1,green,white
Oceania,South-West,English,ChristianNonCatholic,5,blue,0,0,blue,red
Europe,North-East,OtherIndo-European,Catholic,3,gold,0,0,blue,red
Africa,South-East,Other,Ethnic,3,red,0,0,red,black
NorthAmerica,North-West,English,ChristianNonCatholic,3,white,0,0,white,blue
NorthAmerica,North-West,English,ChristianNonCatholic,5,red,0,0,black,red
SouthAmerica,South-West,Spanish,Catholic,2,blue,0,0,blue,blue
SouthAmerica,South-West,Spanish,Catholic,3,blue,0,0,blue,blue
Oceania,South-East,English,ChristianNonCatholic,3,blue,1,0,white,blue
Europe,North-East,German,Catholic,2,red,0,0,red,red
NorthAmerica,North-West,English,ChristianNonCatholic,3,blue,0,0,blue,blue
Asia,North-East,Arabic,Muslim,2,red,0,0,white,red
Asia,North-East,OtherIndo-European,Muslim,2,green,0,0,green,green
NorthAmerica,North-West,English,ChristianNonCatholic,3,blue,0,0,blue,blue
Europe,North-East,OtherIndo-European,Catholic,3,gold,0,0,black,red
NorthAmerica,North-West,English,ChristianNonCatholic,8,blue,0,0,red,red
Africa,North-East,French,Ethnic,2,green,0,0,green,green
NorthAmerica,North-West,English,ChristianNonCatholic,6,red,1,0,white,red
Asia,North-East,Other,Buddhist,4,orange,0,0,orange,red
SouthAmerica,South-West,Spanish,Catholic,3,red,0,0,red,green
Africa,South-East,Other,Ethnic,3,blue,0,0,blue,blue
SouthAmerica,South-West,OtherIndo-European,Catholic,4,green,0,0,green,green
NorthAmerica,North-West,English,ChristianNonCatholic,6,blue,1,0,white,blue
Asia,North-East,Other,Muslim,4,gold,0,0,white,gold
Europe,North-East,Slavic,Marxist,5,red,0,0,white,red
Africa,North-West,French,Ethnic,3,red,0,0,red,green
Asia,North-East,Other,Buddhist,3,red,0,0,blue,red
Africa,South-East,Other,Ethnic,3,red,1,0,white,white
Africa,North-East,French,ChristianNonCatholic,3,gold,0,0,green,gold
NorthAmerica,North-West,English,ChristianNonCatholic,2,red,0,0,red,red
Africa,North-West,OtherIndo-European,Catholic,5,gold,0,0,red,green
NorthAmerica,North-West,English,ChristianNonCatholic,6,blue,1,0,white,blue
Africa,North-East,Other,Ethnic,5,gold,0,0,blue,gold
